"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1661","User login with wrong email or password","LMS system","Sun Apr 27 14:44:17 GMT 2025","passed","Sun Apr 27 14:44:19 GMT 2025","Authorization","Authentication","",""
"","1468","Registration with correct email, username and password","LMS system","Sun Apr 27 14:44:21 GMT 2025","passed","Sun Apr 27 14:44:23 GMT 2025","Registration","Authentication","",""
"","1737","Check displaying of dashboard page","LMS system","Sun Apr 27 14:44:45 GMT 2025","passed","Sun Apr 27 14:44:47 GMT 2025","Dashboard","Dashboard","",""
"","1641","User login with wrong email or password","LMS system","Sun Apr 27 14:44:09 GMT 2025","passed","Sun Apr 27 14:44:10 GMT 2025","Authorization","Authentication","",""
"","3133","Create course","LMS system","Sun Apr 27 14:44:29 GMT 2025","passed","Sun Apr 27 14:44:33 GMT 2025","Courses","Courses","",""
"","1435","Navigation from login page to registration page","LMS system","Sun Apr 27 14:44:19 GMT 2025","passed","Sun Apr 27 14:44:21 GMT 2025","Authorization","Authentication","",""
"","1645","User login with wrong email or password","LMS system","Sun Apr 27 14:43:58 GMT 2025","passed","Sun Apr 27 14:44:00 GMT 2025","Authorization","Authentication","",""
"","1380","User login with wrong email or password","LMS system","Sun Apr 27 14:44:01 GMT 2025","passed","Sun Apr 27 14:44:02 GMT 2025","Authorization","Authentication","",""
"","2161","Registration with correct email, username and password","LMS system","Sun Apr 27 14:44:24 GMT 2025","passed","Sun Apr 27 14:44:26 GMT 2025","Registration","Authentication","",""
"","1041","Navigation from login page to registration page","LMS system","Sun Apr 27 14:44:20 GMT 2025","passed","Sun Apr 27 14:44:21 GMT 2025","Authorization","Authentication","",""
"","1701","User login with wrong email or password","LMS system","Sun Apr 27 14:44:12 GMT 2025","passed","Sun Apr 27 14:44:13 GMT 2025","Authorization","Authentication","",""
"","4112","Edit course","LMS system","Sun Apr 27 14:44:38 GMT 2025","passed","Sun Apr 27 14:44:42 GMT 2025","Courses","Courses","",""
"","3827","Edit course","LMS system","Sun Apr 27 14:44:39 GMT 2025","passed","Sun Apr 27 14:44:43 GMT 2025","Courses","Courses","",""
"","1214","Check displaying of empty courses list","LMS system","Sun Apr 27 14:44:43 GMT 2025","passed","Sun Apr 27 14:44:44 GMT 2025","Courses","Courses","",""
"","1101","Check displaying of empty courses list","LMS system","Sun Apr 27 14:44:44 GMT 2025","passed","Sun Apr 27 14:44:45 GMT 2025","Courses","Courses","",""
"","2872","User login with correct email and password","LMS system","Sun Apr 27 14:43:58 GMT 2025","passed","Sun Apr 27 14:44:01 GMT 2025","Authorization","Authentication","",""
"","3021","Edit course","LMS system","Sun Apr 27 14:44:34 GMT 2025","passed","Sun Apr 27 14:44:37 GMT 2025","Courses","Courses","",""
"","1608","Check displaying of empty courses list","LMS system","Sun Apr 27 14:44:46 GMT 2025","passed","Sun Apr 27 14:44:48 GMT 2025","Courses","Courses","",""
"","1563","User login with wrong email or password","LMS system","Sun Apr 27 14:44:16 GMT 2025","passed","Sun Apr 27 14:44:17 GMT 2025","Authorization","Authentication","",""
"","2059","Check displaying of dashboard page","LMS system","Sun Apr 27 14:44:49 GMT 2025","passed","Sun Apr 27 14:44:51 GMT 2025","Dashboard","Dashboard","",""
"","2033","Registration with correct email, username and password","LMS system","Sun Apr 27 14:44:23 GMT 2025","passed","Sun Apr 27 14:44:25 GMT 2025","Registration","Authentication","",""
"","6980","User login with correct email and password","LMS system","Sun Apr 27 14:44:03 GMT 2025","passed","Sun Apr 27 14:44:10 GMT 2025","Authorization","Authentication","",""
"","2948","Create course","LMS system","Sun Apr 27 14:44:34 GMT 2025","passed","Sun Apr 27 14:44:37 GMT 2025","Courses","Courses","",""
"","1333","Navigation from login page to registration page","LMS system","Sun Apr 27 14:44:21 GMT 2025","passed","Sun Apr 27 14:44:23 GMT 2025","Authorization","Authentication","",""
"","3121","User login with correct email and password","LMS system","Sun Apr 27 14:44:12 GMT 2025","passed","Sun Apr 27 14:44:15 GMT 2025","Authorization","Authentication","",""
"","1574","User login with wrong email or password","LMS system","Sun Apr 27 14:44:04 GMT 2025","passed","Sun Apr 27 14:44:06 GMT 2025","Authorization","Authentication","",""
"","2111","Check displaying of dashboard page","LMS system","Sun Apr 27 14:44:49 GMT 2025","passed","Sun Apr 27 14:44:52 GMT 2025","Dashboard","Dashboard","",""
"","1249","User login with wrong email or password","LMS system","Sun Apr 27 14:44:03 GMT 2025","passed","Sun Apr 27 14:44:04 GMT 2025","Authorization","Authentication","",""
"","1401","User login with wrong email or password","LMS system","Sun Apr 27 14:44:07 GMT 2025","passed","Sun Apr 27 14:44:08 GMT 2025","Authorization","Authentication","",""
"","2488","Create course","LMS system","Sun Apr 27 14:44:28 GMT 2025","passed","Sun Apr 27 14:44:31 GMT 2025","Courses","Courses","",""
