"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2076","Registration with correct email, username and password","LMS system","Sat Apr 19 19:18:59 MSK 2025","passed","Sat Apr 19 19:19:01 MSK 2025","Registration","Authentication","",""
"","1848","User login with wrong email or password","LMS system","Sat Apr 19 19:18:49 MSK 2025","passed","Sat Apr 19 19:18:51 MSK 2025","Authorization","Authentication","",""
"","3002","User login with correct email and password","LMS system","Sat Apr 19 19:18:45 MSK 2025","passed","Sat Apr 19 19:18:48 MSK 2025","Authorization","Authentication","",""
"","3401","Edit course","LMS system","Sat Apr 19 19:19:08 MSK 2025","passed","Sat Apr 19 19:19:11 MSK 2025","Courses","Courses","",""
"","1858","Navigation from login page to registration page","LMS system","Sat Apr 19 19:18:56 MSK 2025","passed","Sat Apr 19 19:18:58 MSK 2025","Authorization","Authentication","",""
"","1845","User login with wrong email or password","LMS system","Sat Apr 19 19:18:51 MSK 2025","passed","Sat Apr 19 19:18:53 MSK 2025","Authorization","Authentication","",""
"","2064","Check displaying of dashboard page","LMS system","Sat Apr 19 19:19:15 MSK 2025","passed","Sat Apr 19 19:19:17 MSK 2025","Dashboard","Dashboard","",""
"","2760","Create course","LMS system","Sat Apr 19 19:19:04 MSK 2025","passed","Sat Apr 19 19:19:07 MSK 2025","Courses","Courses","",""
"","1840","User login with wrong email or password","LMS system","Sat Apr 19 19:18:54 MSK 2025","passed","Sat Apr 19 19:18:56 MSK 2025","Authorization","Authentication","",""
"","1814","Check displaying of empty courses list","LMS system","Sat Apr 19 19:19:13 MSK 2025","passed","Sat Apr 19 19:19:14 MSK 2025","Courses","Courses","",""
